id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed
10637,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1379.37288978407,-1372.17345857871,-1375.17345857871,-1381.16065539937,0.0230810366504522,2.63766135534947,-0.692743074259304,2.64964627466721,0.933246420150753,0.33342314078088,14.1490328887293
10638,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1212.25870971978,-1201.12955183513,-1204.12955183513,-1210.11674865579,0.0522204251647685,-2.47481992351964,-5.7299465079327,2.34595347985188,0.0776423575767069,0.00323674042277849,10.4432253869599
10662,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1000.47924087001,-990.777419330873,-993.777419330873,-999.764616151536,0.125557690137678,-0.701322478391009,-1.12677697626616,1.29222097140265,0.33151908259336,0.244756388862557,3.64086383719037
10711,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1422.60052629975,-1413.92650826233,-1416.92650826233,-1422.91370508299,0.0062559071876106,-2.95417428365455,-5.35480442521398,1.91709475115237,0.0495395936612574,0.00470316924922453,6.80117064575207
10717,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1420.63919553158,-1412.5909464523,-1415.5909464523,-1421.57814327296,0.0110092578716905,0.3222654641846,-2.42177735118965,2.95596735666861,0.579876263694818,0.0815270676583894,19.2203066215365
10767,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1422.51762756935,-1415.80858367842,-1418.80858367842,-1424.79578049908,0.0106608213104927,2.56385462691501,-0.492416080995984,2.80309747147637,0.92849878481729,0.379324566110994,16.4956625646035
10772,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1308.85167897126,-1299.31478680439,-1302.31478680439,-1308.30198362505,0.0186436212007274,-3.06097306242966,-6.01452778161879,2.0637796874488,0.044746092156705,0.00243704801004354,7.87568123851873
10811,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1294.8353860431,-1286.50637587086,-1289.50637587086,-1295.49357269152,0.035453896007941,3.70058236002157,-1.68936026452794,2.57735305825641,0.975886686396385,0.155859990089511,13.1622522945624
10814,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1404.37986530274,-1397.04670465797,-1400.04670465797,-1406.03390147863,0.0145399342965173,0.410208631123248,-0.477109226871281,2.43338619903622,0.601137903622753,0.382934971162834,11.3974107115456
10822,mmclock_fmri,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1213.42673889382,-1204.15930344468,-1207.15930344468,-1213.14650026534,0.0584223094943112,0.313919516375092,-1.58787385669872,2.22411193870063,0.577841681174133,0.169683240704444,9.24526879175737
